1. The Shawshank Redemption  9.2 1994
2. The Godfather  9.2 1972
3. The Godfather: Part II  9.0 1974
4. The Dark Knight  9.0 2008
5. 12 Angry Men  8.9 1957
6. Schindler's List  8.9 1993
7. Pulp Fiction  8.9 1994
8. The Lord of the Rings: The Return of the King  8.9 2003
9. Il buono, il brutto, il cattivo  8.8 1966
10. Fight Club  8.8 1999
11. The Lord of the Rings: The Fellowship of the Ring  8.8 2001
12. Forrest Gump  8.7 1994
13. Star Wars: Episode V - The Empire Strikes Back  8.7 1980
14. Inception  8.7 2010
15. The Lord of the Rings: The Two Towers  8.7 2002
16. One Flew Over the Cuckoo's Nest  8.7 1975
17. Goodfellas  8.7 1990
18. The Matrix  8.7 1999
19. Shichinin no samurai  8.6 1954
20. Star Wars  8.6 1977
21. Cidade de Deus  8.6 2002
22. Se7en  8.6 1995
23. The Silence of the Lambs  8.6 1991
24. It's a Wonderful Life  8.6 1946
25. La vita è bella  8.6 1997
26. The Usual Suspects  8.6 1995
27. Léon  8.5 1994
28. Saving Private Ryan  8.5 1998
29. Sen to Chihiro no kamikakushi  8.5 2001
30. Coco  8.5 2017
31. American History X  8.5 1998
32. C'era una volta il West  8.5 1968
33. Interstellar  8.5 2014
34. The Green Mile  8.5 1999
35. Psycho  8.5 1960
36. Casablanca  8.5 1942
37. City Lights  8.5 1931
38. Intouchables  8.5 2011
39. Modern Times  8.5 1936
40. The Pianist  8.5 2002
41. Raiders of the Lost Ark  8.5 1981
42. The Departed  8.5 2006
43. Rear Window  8.5 1954
44. Terminator 2: Judgment Day  8.5 1991
45. Back to the Future  8.5 1985
46. Whiplash  8.5 2014
47. Gladiator  8.5 2000
48. The Lion King  8.5 1994
49. The Prestige  8.5 2006
50. Memento  8.5 2000
51. Apocalypse Now  8.5 1979
52. Alien  8.4 1979
53. The Great Dictator  8.4 1940
54. Sunset Blvd.  8.4 1950
55. Nuovo Cinema Paradiso  8.4 1988
56. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb  8.4 1964
57. Das Leben der Anderen  8.4 2006
58. Hotaru no haka  8.4 1988
59. Paths of Glory  8.4 1957
60. Django Unchained  8.4 2012
61. The Shining  8.4 1980
62. WALL·E  8.4 2008
63. American Beauty  8.4 1999
64. Mononoke-hime  8.4 1997
65. The Dark Knight Rises  8.4 2012
66. Blade Runner 2049  8.4 2017
67. Oldeuboi  8.4 2003
68. Witness for the Prosecution  8.4 1957
69. Aliens  8.4 1986
70. Once Upon a Time in America  8.4 1984
71. Das Boot  8.3 1981
72. Dangal  8.3 2016
73. Citizen Kane  8.3 1941
74. Vertigo  8.3 1958
75. North by Northwest  8.3 1959
76. Star Wars: Episode VI - Return of the Jedi  8.3 1983
77. Braveheart  8.3 1995
78. Reservoir Dogs  8.3 1992
79. M  8.3 1931
80. Requiem for a Dream  8.3 2000
81. Kimi no na wa.  8.3 2016
82. Taare Zameen Par  8.3 2007
83. Le fabuleux destin d'Amélie Poulain  8.3 2001
